Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,SalePrice
1566,20,3,0.0,1864,1,2,0,2,0,4,1,4,2,2,0,2,7,7,1977,2001,3,1,13,14,3,0.0,2,2,1,2,3,1,0,1092.0,5,0.0,328.0,1420.0,1,2,1,4,0,1483,1.0,0.0,1,1,1,1,3,4,6,2,4,1,1977.0,1,2.0,690.0,4,4,2,496,0,0,0,0,0,3,4,4,0,4,2010,8,4,1483,170401.630997116
2860,90,3,38.0,485,1,2,0,3,0,1,0,7,2,2,2,6,6,5,1975,1975,0,5,9,15,1,355.0,3,4,1,2,3,1,2,976.0,5,0.0,0.0,976.0,1,4,1,4,0,1012,0.0,2.0,2,0,4,0,3,4,6,0,5,6,0.0,3,0.0,0.0,5,5,2,0,0,0,0,0,0,3,4,4,0,10,2006,8,1,1012,196395.969632434
436,60,3,43.0,1144,1,2,1,3,0,1,0,5,4,2,0,5,7,6,1996,1996,1,1,12,13,3,0.0,2,4,2,2,3,0,2,385.0,0,344.0,70.0,799.0,1,0,1,4,0,1661,1.0,0.0,2,1,3,1,2,6,6,1,4,1,1996.0,1,2.0,550.0,4,4,2,158,61,0,0,0,0,3,4,4,0,4,2009,5,4,1661,212000.0
701,20,3,85.0,1678,1,2,3,3,0,4,0,23,2,2,0,2,8,5,2002,2002,3,1,12,13,1,630.0,2,4,2,0,3,1,2,1274.0,5,0.0,526.0,1800.0,1,0,1,4,0,1800,1.0,0.0,2,0,3,1,2,7,6,1,2,1,2002.0,0,3.0,765.0,4,4,2,270,78,0,0,0,0,3,4,4,0,5,2006,8,4,1800,312500.0
238,60,3,0.0,852,1,2,0,3,0,1,0,20,7,2,0,5,7,7,1993,2003,1,1,6,6,3,0.0,2,4,2,2,3,3,1,402.0,5,0.0,594.0,996.0,1,0,1,4,0,1744,0.0,0.0,2,1,3,1,2,7,6,0,5,1,1993.0,1,2.0,457.0,4,4,2,370,70,0,238,0,0,3,4,4,0,2,2010,8,4,1744,194500.0
1217,90,4,68.0,733,1,2,3,3,0,4,0,19,5,2,2,0,6,5,1978,1978,1,1,12,13,3,0.0,3,4,3,4,4,4,6,0.0,6,0.0,0.0,0.0,1,4,1,4,0,1902,0.0,0.0,2,0,4,2,3,8,6,0,5,1,1978.0,2,2.0,539.0,4,4,2,0,0,0,0,0,0,3,4,4,0,4,2010,8,4,1902,112000.0
110,20,3,105.0,1352,1,2,0,3,0,4,0,14,2,2,0,2,6,6,1977,1977,3,1,9,10,1,480.0,3,4,1,2,3,3,1,705.0,5,0.0,1139.0,1844.0,1,0,1,4,0,1844,0.0,0.0,2,0,3,1,3,7,6,1,4,1,1977.0,1,2.0,546.0,4,4,2,0,122,0,0,0,0,3,2,4,0,1,2010,0,4,1844,190000.0
2458,70,4,50.0,245,1,2,3,3,0,4,0,3,2,2,0,5,6,6,1939,1950,1,1,8,13,3,0.0,3,4,1,3,3,2,4,276.0,5,0.0,324.0,600.0,1,0,1,4,0,1232,0.0,0.0,1,1,3,1,3,6,6,2,4,1,1939.0,2,1.0,217.0,4,4,2,0,0,0,0,0,0,3,1,4,0,2,2007,8,4,1232,169762.081624282
164,45,3,55.0,208,1,2,3,3,0,4,0,17,2,2,0,1,4,6,1956,1956,1,1,8,8,3,0.0,3,4,1,3,3,3,5,0.0,5,0.0,882.0,882.0,1,0,1,4,0,882,0.0,0.0,1,0,1,1,3,4,6,0,5,6,0.0,3,0.0,0.0,5,5,2,0,0,0,0,0,0,3,2,4,0,4,2007,8,4,882,103200.0
1963,160,4,21.0,19,1,2,3,3,0,4,0,2,2,2,3,5,6,6,1972,1972,1,1,6,6,1,422.0,3,4,1,3,3,3,3,483.0,5,0.0,0.0,483.0,1,2,1,4,0,987,0.0,0.0,1,1,2,1,3,5,6,0,5,5,1975.0,2,1.0,352.0,4,4,2,411,0,0,0,0,0,3,4,4,0,4,2008,8,4,987,149709.672100371
253,60,3,65.0,599,1,2,0,3,0,4,0,20,2,2,0,5,6,5,2004,2004,1,1,12,13,3,0.0,2,4,2,2,3,3,5,0.0,5,0.0,798.0,798.0,1,0,1,4,0,1640,0.0,0.0,2,1,3,1,2,6,6,0,5,1,2004.0,1,2.0,520.0,4,4,2,138,45,0,0,0,0,3,4,4,0,12,2008,8,4,1640,173000.0
1846,80,3,88.0,1731,1,2,3,3,0,4,0,19,2,2,0,7,6,5,1960,1960,3,1,13,14,1,54.0,3,4,1,3,3,0,1,588.0,5,0.0,550.0,1138.0,1,0,1,4,0,1138,0.0,1.0,1,0,3,1,3,6,6,1,4,1,1960.0,1,2.0,480.0,4,4,2,0,0,0,0,140,0,3,2,4,0,3,2009,0,4,1138,187397.993362224
1454,20,3,90.0,1812,1,2,3,3,0,4,0,11,2,2,0,2,5,5,2006,2006,1,1,12,13,3,0.0,3,4,2,2,3,3,5,0.0,5,0.0,1140.0,1140.0,1,0,1,4,0,1140,0.0,0.0,1,0,3,1,3,6,6,0,5,6,0.0,3,0.0,0.0,5,5,2,36,56,0,0,0,0,3,4,4,0,7,2006,8,0,1140,84500.0
1011,50,3,115.0,1875,1,2,3,3,0,4,0,19,2,2,0,0,5,5,1948,1950,1,1,13,14,3,0.0,3,4,1,3,3,3,5,0.0,5,0.0,720.0,720.0,1,4,1,4,0,1271,0.0,0.0,2,0,4,1,3,7,6,1,2,1,1948.0,2,1.0,312.0,4,4,2,0,0,108,0,0,0,3,4,4,0,8,2008,8,4,1271,135000.0
1487,60,3,60.0,1818,1,2,1,3,0,1,0,15,2,2,0,5,8,5,1998,1998,3,1,12,13,1,114.0,2,4,2,0,3,3,5,0.0,5,0.0,1629.0,1629.0,1,0,1,4,0,2475,0.0,0.0,2,1,4,1,2,7,6,1,4,1,1998.0,0,3.0,962.0,4,4,2,23,172,0,0,256,0,3,4,4,0,1,2010,8,4,2475,201740.620690863
1458,70,3,66.0,759,1,2,3,3,0,4,0,6,2,2,0,5,7,9,1941,2006,1,1,5,5,3,0.0,0,2,4,3,1,3,2,275.0,5,0.0,877.0,1152.0,1,0,1,4,0,2340,0.0,0.0,2,0,4,1,2,9,6,2,2,1,1941.0,1,1.0,252.0,4,4,2,0,60,0,0,0,0,3,0,2,2500,5,2010,8,4,2340,266500.0
645,20,1,85.0,795,1,2,3,3,0,4,0,21,2,2,0,2,9,5,2009,2009,1,1,5,5,2,162.0,0,4,2,0,3,2,2,1121.0,5,0.0,645.0,1766.0,1,0,1,4,0,1766,1.0,0.0,2,1,2,1,0,7,6,1,2,1,2009.0,0,3.0,478.0,4,4,2,195,130,0,0,0,0,3,4,4,0,10,2009,6,5,1766,370878.0
2269,20,3,0.0,1206,1,2,0,3,0,4,0,14,2,2,0,2,6,5,1984,1984,3,1,6,6,3,0.0,3,4,1,2,3,3,2,256.0,5,0.0,1028.0,1284.0,1,4,1,4,0,1284,1.0,0.0,2,0,3,1,3,5,6,0,5,1,1984.0,2,2.0,480.0,4,4,2,0,0,192,0,0,0,3,4,4,0,4,2007,0,0,1284,181733.336941451
848,20,3,36.0,1742,1,2,0,3,0,1,0,5,2,2,0,2,5,6,1972,1972,1,1,6,10,3,0.0,3,4,1,3,3,0,1,460.0,5,0.0,404.0,864.0,1,0,1,4,0,864,1.0,0.0,1,0,3,1,3,5,6,1,1,1,1972.0,2,1.0,338.0,4,4,2,0,0,0,0,0,0,3,4,4,0,8,2009,8,4,864,133500.0
2255,60,3,0.0,658,1,2,0,3,0,4,0,8,2,2,0,5,6,5,1999,2000,1,1,12,13,3,0.0,3,4,2,2,3,3,0,871.0,5,0.0,52.0,923.0,1,2,1,4,0,1714,1.0,0.0,2,1,3,1,3,7,6,1,4,1,2000.0,0,2.0,451.0,4,4,2,256,48,0,0,0,0,3,4,4,0,4,2007,8,0,1714,177161.583857224
2177,60,3,41.0,1192,1,2,1,3,0,1,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,3,0.0,2,4,2,2,3,3,5,0.0,5,0.0,1129.0,1129.0,1,0,1,4,0,2327,0.0,0.0,2,1,4,1,2,9,6,1,2,3,2003.0,1,2.0,596.0,4,4,2,0,57,0,0,0,0,3,4,4,0,8,2008,8,4,2327,198422.868144723
1308,20,3,60.0,532,1,2,3,3,0,4,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,3,0.0,3,2,2,2,1,3,0,746.0,5,0.0,244.0,990.0,1,0,1,4,0,990,1.0,0.0,1,0,3,1,3,5,6,0,5,5,2000.0,2,2.0,480.0,4,4,2,0,64,0,0,0,0,3,4,4,0,5,2009,8,4,990,138000.0
1621,60,3,63.0,1099,1,2,3,3,0,4,0,11,2,2,0,5,5,5,1991,1991,1,1,6,6,3,0.0,3,4,2,2,3,3,4,458.0,5,0.0,166.0,624.0,1,2,1,4,0,1274,0.0,0.0,1,1,3,1,3,6,6,0,5,5,1993.0,2,2.0,576.0,4,4,2,22,0,0,0,0,0,3,1,4,0,3,2010,8,4,1274,176980.914909382
2336,60,3,82.0,760,1,2,0,3,0,4,0,15,2,2,0,5,8,5,1996,1997,1,1,12,13,1,526.0,2,2,2,2,3,3,2,1225.0,5,0.0,100.0,1325.0,1,0,1,4,0,2538,0.0,0.0,2,1,4,1,2,8,6,1,4,1,1996.0,1,3.0,933.0,4,4,2,198,92,0,0,0,0,3,4,4,0,5,2007,8,4,2538,192343.34807661
462,70,3,60.0,367,1,2,3,3,0,4,0,18,1,2,0,5,7,9,1936,2007,1,1,13,14,3,0.0,2,2,2,2,1,3,0,350.0,1,210.0,0.0,560.0,1,0,1,4,0,1135,1.0,0.0,1,0,3,1,2,6,6,0,5,5,1971.0,1,2.0,576.0,4,4,2,256,0,0,0,0,0,3,2,4,0,4,2009,8,4,1135,155000.0
2404,85,3,0.0,1000,1,2,0,3,0,4,0,12,2,2,0,6,5,6,1966,1966,1,1,6,6,1,87.0,3,4,1,3,3,0,2,602.0,5,0.0,191.0,793.0,1,0,1,4,0,1280,0.0,1.0,2,0,3,1,3,6,6,1,4,2,1966.0,0,2.0,432.0,4,4,2,140,40,0,0,0,0,3,4,4,0,6,2007,8,4,1280,182152.207151253
158,60,3,92.0,1398,1,2,3,3,0,0,0,23,2,2,0,5,8,5,2009,2010,1,1,12,13,1,84.0,2,4,2,0,3,3,5,0.0,5,0.0,774.0,774.0,1,0,1,4,0,1968,0.0,0.0,2,1,4,1,0,8,6,1,2,3,2009.0,0,3.0,680.0,4,4,2,0,75,0,0,0,0,3,4,4,0,5,2010,6,5,1968,269500.0
1787,70,3,60.0,367,1,2,3,3,0,0,0,17,0,2,0,5,7,9,1910,2008,1,1,12,13,3,0.0,2,2,2,3,3,3,5,0.0,5,0.0,560.0,560.0,1,0,1,4,0,1690,0.0,0.0,2,0,4,1,2,5,6,0,5,5,2008.0,2,2.0,624.0,4,4,2,0,0,112,0,0,0,3,4,4,0,8,2009,8,4,1690,190233.609102705
1739,160,1,32.0,58,1,1,3,3,0,4,0,21,2,2,3,5,7,5,2004,2005,1,1,8,8,3,0.0,2,4,2,2,3,3,5,0.0,5,0.0,1376.0,1376.0,1,0,1,4,0,3005,0.0,0.0,2,1,3,1,2,9,4,1,4,3,2004.0,0,3.0,704.0,4,4,2,0,177,0,0,0,0,3,4,4,0,7,2009,8,4,3005,167350.910824524
1567,30,3,94.0,814,1,2,3,3,0,0,0,19,1,2,0,2,4,4,1927,1950,1,1,13,14,3,0.0,3,4,0,1,3,3,5,0.0,5,0.0,660.0,660.0,1,4,0,4,0,756,0.0,0.0,1,0,2,1,3,4,6,0,5,5,1945.0,2,2.0,440.0,4,4,0,80,0,0,0,0,0,3,4,4,0,6,2010,8,4,756,164626.577880222
2462,50,4,52.0,261,1,2,3,3,0,4,0,3,2,2,0,0,5,7,1930,1992,1,1,13,14,3,0.0,3,4,0,3,3,3,5,0.0,5,0.0,966.0,966.0,1,0,1,4,0,1426,0.0,0.0,1,0,3,1,3,6,6,1,2,5,1930.0,2,1.0,230.0,1,4,2,174,0,96,0,0,0,3,0,4,0,7,2007,8,4,1426,175758.873595981
239,20,3,93.0,1401,1,2,3,3,0,4,0,16,2,2,0,2,8,5,2007,2007,3,1,12,13,1,254.0,0,4,2,0,3,3,5,0.0,5,0.0,1694.0,1694.0,1,0,1,4,0,1694,0.0,0.0,2,0,3,1,2,7,6,0,5,1,2007.0,0,3.0,818.0,4,4,2,168,228,0,0,0,0,3,4,4,0,12,2007,6,5,1694,318000.0
1468,60,3,63.0,609,1,2,0,3,0,4,0,8,2,2,0,5,6,5,1998,1998,1,1,12,13,3,0.0,3,4,2,2,3,3,5,0.0,5,0.0,789.0,789.0,1,2,1,4,0,1465,0.0,0.0,2,1,3,1,3,7,6,1,2,1,1998.0,0,2.0,393.0,4,4,2,0,75,0,0,0,0,3,4,4,0,5,2010,8,4,1465,175110.956519547
1736,20,3,65.0,360,1,2,3,3,0,4,0,19,1,2,0,2,5,6,1962,1962,1,1,12,13,1,60.0,3,4,1,3,3,3,3,140.0,1,590.0,182.0,912.0,1,2,1,4,0,912,0.0,1.0,1,0,3,1,3,6,6,0,5,1,1962.0,2,1.0,252.0,4,4,2,0,0,0,0,0,0,3,4,4,0,10,2009,8,4,912,179069.112234629
1847,80,3,0.0,1746,1,2,3,3,0,4,0,4,2,2,0,7,5,5,1956,1956,3,1,13,14,1,366.0,3,4,1,3,3,2,5,0.0,5,0.0,825.0,825.0,1,0,1,4,0,2071,0.0,1.0,1,1,4,1,3,9,6,1,4,1,1956.0,2,1.0,336.0,4,4,2,131,28,0,0,0,0,3,4,4,0,10,2009,8,4,2071,208943.427726113
101,20,3,0.0,1126,1,2,0,3,0,4,0,14,2,2,0,2,6,7,1977,2001,1,1,9,10,1,28.0,3,4,2,3,3,2,0,1200.0,5,0.0,410.0,1610.0,1,2,1,4,0,1610,1.0,0.0,2,0,3,1,2,6,6,2,4,1,1977.0,1,2.0,480.0,4,4,2,168,68,0,0,0,0,3,4,4,0,2,2010,8,4,1610,205000.0
316,60,3,71.0,473,1,2,0,3,0,4,0,8,2,2,0,5,7,5,2004,2005,1,1,12,13,3,0.0,2,4,2,2,3,3,2,425.0,5,0.0,291.0,716.0,1,0,1,4,0,1432,1.0,0.0,2,1,3,1,2,6,6,1,2,1,2004.0,0,2.0,432.0,4,4,2,100,51,0,0,0,0,3,4,4,0,7,2009,8,4,1432,188500.0
1346,30,4,50.0,245,1,2,3,3,0,4,0,17,2,2,0,2,4,4,1920,1950,3,1,8,8,3,0.0,3,4,2,3,3,3,0,250.0,5,0.0,710.0,960.0,1,2,1,0,0,960,0.0,0.0,1,0,2,1,1,5,6,0,5,5,1997.0,2,1.0,308.0,4,4,2,0,0,168,0,0,0,3,4,4,0,7,2007,8,4,960,108500.0
2004,60,3,80.0,846,1,2,3,3,0,4,0,21,2,2,0,5,8,5,2007,2008,3,1,12,13,2,310.0,2,4,2,2,3,0,2,729.0,5,0.0,226.0,955.0,1,0,1,4,0,1874,1.0,0.0,2,1,3,1,2,8,6,1,2,1,2007.0,0,3.0,880.0,4,4,2,168,108,0,0,0,0,3,4,4,0,2,2008,6,5,1874,175610.840124147
941,90,3,55.0,1498,1,2,0,3,0,4,0,11,2,2,2,2,6,5,1976,1976,1,1,9,10,3,0.0,3,4,1,3,3,1,4,936.0,3,396.0,396.0,1728.0,1,4,1,4,0,1728,0.0,0.0,2,0,4,2,3,8,6,0,5,1,1976.0,2,2.0,574.0,4,4,2,40,0,0,0,0,0,3,4,4,0,7,2006,8,4,1728,150900.0
1118,20,3,57.0,932,1,2,0,3,0,2,0,19,1,2,0,2,5,7,1967,2003,1,1,12,13,3,0.0,3,4,1,3,3,3,1,702.0,5,0.0,192.0,894.0,1,0,1,4,0,894,1.0,0.0,1,0,3,1,2,5,6,0,5,1,1967.0,1,2.0,450.0,4,4,2,0,0,0,0,0,0,3,4,4,0,5,2008,8,4,894,130000.0
262,60,3,69.0,892,1,2,0,3,0,4,0,5,2,2,0,5,8,5,2007,2007,1,1,5,5,2,270.0,2,4,2,0,3,3,5,0.0,5,0.0,1482.0,1482.0,1,0,1,4,0,2574,0.0,0.0,2,1,3,1,0,10,6,1,2,3,2007.0,0,3.0,868.0,4,4,2,0,148,0,0,0,0,3,4,4,0,11,2007,6,5,2574,276000.0
927,60,3,93.0,1396,1,2,3,3,0,4,0,16,2,2,0,5,8,5,2003,2004,3,1,12,13,1,340.0,2,4,2,2,3,3,5,0.0,5,0.0,1181.0,1181.0,1,0,1,4,0,2374,0.0,0.0,2,1,4,1,0,10,6,1,2,3,2003.0,0,3.0,656.0,4,4,2,104,100,0,0,0,0,3,4,4,0,5,2007,8,4,2374,285000.0
2054,70,3,50.0,170,1,2,0,0,0,4,1,3,6,1,0,5,4,7,1937,1950,1,1,8,8,3,0.0,3,4,2,3,3,3,4,120.0,5,0.0,228.0,348.0,1,4,1,4,0,906,0.0,0.0,1,0,2,1,3,5,6,0,5,2,1937.0,2,1.0,231.0,1,4,2,0,0,0,0,0,0,3,4,4,0,9,2008,8,4,906,161122.505607926
1961,20,3,63.0,427,1,2,3,3,0,4,0,12,2,2,0,2,5,5,1971,1971,3,1,8,8,3,0.0,3,4,1,2,3,3,4,119.0,0,613.0,132.0,864.0,1,4,1,4,0,864,1.0,0.0,1,0,3,1,3,5,6,0,5,5,1977.0,2,2.0,576.0,4,4,2,0,0,0,0,0,0,3,4,4,0,5,2008,8,4,864,175249.222149411
2555,40,3,62.0,998,1,2,3,0,0,0,0,7,2,2,0,0,6,8,1920,1995,1,1,13,14,3,0.0,3,4,0,3,3,3,3,144.0,0,278.0,238.0,660.0,1,4,1,4,0,865,1.0,0.0,1,0,2,1,3,4,6,1,2,5,1920.0,2,1.0,216.0,4,4,2,0,0,84,0,0,0,3,4,4,0,8,2007,8,4,865,171070.367893827
180,30,4,60.0,635,1,2,3,3,0,4,0,17,2,2,0,2,5,6,1923,2006,1,1,13,14,3,0.0,2,4,1,3,3,3,5,0.0,5,0.0,968.0,968.0,1,4,1,4,0,968,0.0,0.0,1,0,2,1,3,5,6,0,5,5,1935.0,2,2.0,480.0,1,4,0,0,0,184,0,0,0,3,4,4,0,7,2007,8,4,968,100000.0
2253,80,3,56.0,717,1,2,0,1,0,4,0,8,2,2,0,7,6,5,1997,1997,1,1,12,13,3,0.0,3,4,2,2,3,3,5,0.0,5,0.0,384.0,384.0,1,2,1,4,0,1384,0.0,0.0,2,1,3,1,3,7,6,1,4,3,1997.0,0,2.0,390.0,4,4,2,0,0,0,0,0,0,3,4,4,0,3,2007,8,4,1384,176519.18031559
2758,50,3,60.0,335,1,2,3,3,0,0,0,17,2,2,0,0,4,8,1900,1998,1,1,8,8,3,0.0,3,2,0,1,0,3,5,0.0,5,0.0,448.0,448.0,1,0,1,4,0,720,0.0,0.0,1,0,1,1,1,5,6,0,5,1,1900.0,2,1.0,280.0,1,4,2,0,0,70,0,0,0,3,4,4,0,3,2006,8,4,720,147196.673677562
1408,20,3,0.0,696,1,2,0,3,0,0,0,11,2,2,0,2,5,5,1985,1985,1,1,6,10,3,0.0,3,4,1,3,3,3,0,625.0,5,0.0,208.0,833.0,1,0,1,4,0,833,1.0,0.0,1,0,3,1,3,5,6,0,5,6,0.0,3,0.0,0.0,5,5,2,0,0,0,0,0,0,3,2,4,0,3,2009,8,4,833,112000.0
1378,50,3,60.0,1212,1,0,3,3,0,4,0,7,2,2,0,0,5,5,1941,1960,1,1,13,14,3,0.0,3,4,1,3,3,3,3,408.0,1,420.0,156.0,984.0,1,0,1,4,0,1604,0.0,0.0,2,0,3,1,3,6,3,0,5,5,1977.0,2,2.0,660.0,4,4,2,0,68,0,0,0,0,3,4,4,0,7,2009,8,4,1604,117000.0
1090,120,1,37.0,79,1,1,0,3,0,4,0,21,2,2,4,2,8,5,2005,2005,1,1,8,8,3,0.0,2,4,2,2,3,3,2,1039.0,5,0.0,208.0,1247.0,1,0,1,4,0,1247,1.0,0.0,1,1,1,1,2,4,6,1,2,1,2005.0,0,2.0,550.0,4,4,2,0,84,0,0,0,0,3,4,4,0,4,2006,8,4,1247,197000.0
481,20,3,98.0,1766,1,2,0,3,0,2,0,16,2,2,0,2,9,5,2004,2005,3,1,12,13,1,378.0,2,4,2,0,3,1,2,1261.0,5,0.0,572.0,1833.0,1,0,1,4,0,1850,1.0,0.0,2,0,3,1,2,8,6,1,2,1,2004.0,0,3.0,772.0,4,4,2,519,112,0,0,0,0,3,4,4,0,3,2006,8,4,1850,326000.0
743,20,3,65.0,619,1,2,3,3,0,4,0,20,2,2,0,2,7,5,2000,2001,1,1,12,13,1,108.0,3,4,2,2,3,3,5,0.0,5,0.0,1349.0,1349.0,1,0,1,4,0,1349,0.0,0.0,2,0,3,1,3,6,6,0,5,1,2000.0,2,2.0,539.0,4,4,2,120,55,0,0,0,0,3,0,4,0,12,2007,8,4,1349,179000.0
2370,160,1,24.0,37,1,1,3,3,0,4,0,21,2,2,3,5,6,5,1999,1999,1,1,8,8,1,342.0,3,4,2,2,3,3,2,565.0,5,0.0,179.0,744.0,1,2,1,4,0,1501,1.0,0.0,2,1,3,1,3,6,6,1,4,5,1999.0,2,2.0,440.0,4,4,2,0,0,0,0,0,0,3,4,4,0,9,2007,8,4,1501,170175.22684199
1919,85,3,72.0,835,1,2,3,0,0,4,0,11,2,2,0,6,6,7,1977,1977,1,1,9,10,3,0.0,3,4,1,2,3,0,2,841.0,3,116.0,0.0,957.0,1,4,1,4,0,1287,1.0,0.0,1,1,2,1,3,5,6,2,1,1,1977.0,1,2.0,541.0,4,4,2,302,39,0,0,120,0,3,1,4,0,11,2009,8,4,1287,171247.48948121
