Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF
25,20,3,0.0,577,1,2,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,1,9,10,3,0.0,3,2,1,3,3,2,4,188.0,0,668.0,204.0,1060.0,1,0,1,4,0,1060,1.0,0.0,1,0,3,1,2,6,6,1,4,1,1968.0,2,1.0,270.0,4,4,2,406,90,0,0,0,0,3,2,4,0,5,2010,8,4,154000.0,1060
26,20,3,110.0,1666,1,2,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,2,640.0,2,4,2,2,3,3,5,0.0,5,0.0,1566.0,1566.0,1,0,1,4,0,1600,0.0,0.0,2,0,3,1,2,7,6,1,2,1,2007.0,1,3.0,890.0,4,4,2,0,56,0,0,0,0,3,4,4,0,7,2009,8,4,256300.0,1600
27,20,3,60.0,367,1,2,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,3,0.0,3,4,1,3,3,2,1,234.0,4,486.0,180.0,900.0,1,4,1,4,0,900,0.0,1.0,1,0,3,1,2,5,6,0,5,5,2005.0,2,2.0,576.0,4,4,2,222,32,0,0,0,0,3,4,4,0,5,2010,8,4,134800.0,900
28,20,3,98.0,1311,1,2,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,2,200.0,2,4,2,0,3,3,2,1218.0,5,0.0,486.0,1704.0,1,0,1,4,0,1704,1.0,0.0,2,0,3,1,2,7,6,1,2,1,2008.0,1,3.0,772.0,4,4,2,0,50,0,0,0,0,3,4,4,0,5,2010,8,4,306000.0,1704
29,20,3,47.0,1783,1,2,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,3,0.0,3,4,1,3,3,1,1,1277.0,5,0.0,207.0,1484.0,1,4,1,4,0,1600,1.0,0.0,1,0,2,1,3,6,6,2,2,1,1957.0,1,1.0,319.0,4,4,2,288,258,0,0,0,0,3,4,4,0,12,2006,8,4,207500.0,1600
30,30,4,60.0,270,1,2,0,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,1,8,8,3,0.0,3,4,0,3,3,3,5,0.0,5,0.0,520.0,520.0,1,1,0,4,0,520,0.0,0.0,1,0,1,1,1,4,6,0,5,5,1920.0,2,1.0,240.0,1,4,2,49,0,87,0,0,0,3,4,4,0,5,2008,8,4,68500.0,520
31,70,0,50.0,630,1,1,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,3,0.0,3,1,0,3,3,3,5,0.0,5,0.0,649.0,649.0,1,4,0,4,0,1317,0.0,0.0,1,0,3,1,3,6,6,0,5,5,1920.0,2,1.0,250.0,4,1,0,0,54,172,0,0,0,3,2,4,0,7,2008,8,4,40000.0,1317
32,20,3,0.0,644,1,2,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,3,0.0,3,4,1,3,3,3,5,0.0,5,0.0,1228.0,1228.0,1,2,1,4,0,1228,0.0,0.0,1,1,3,1,2,6,6,0,5,1,1966.0,2,1.0,271.0,4,4,2,0,65,0,0,0,0,3,2,4,0,6,2008,8,4,149350.0,1228
33,20,3,85.0,1221,1,2,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,3,0.0,2,4,2,0,3,0,5,0.0,5,0.0,1234.0,1234.0,1,0,1,4,0,1234,0.0,0.0,2,0,3,1,2,7,6,0,5,1,2007.0,1,2.0,484.0,4,4,2,0,30,0,0,0,0,3,4,4,0,1,2008,8,4,179900.0,1234
34,20,3,70.0,1114,1,2,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,3,0.0,3,4,1,3,3,3,4,1018.0,5,0.0,380.0,1398.0,1,2,1,4,0,1700,0.0,1.0,1,1,4,1,2,6,6,1,2,1,1959.0,1,2.0,447.0,4,4,2,0,38,0,0,0,0,3,4,4,0,4,2010,8,4,165500.0,1700
35,120,3,60.0,385,1,2,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,246.0,0,4,2,0,3,3,2,1153.0,5,0.0,408.0,1561.0,1,0,1,4,0,1561,1.0,0.0,2,0,2,1,0,6,6,1,2,1,2005.0,0,2.0,556.0,4,4,2,203,47,0,0,0,0,3,4,4,0,8,2007,8,4,277500.0,1561
36,60,3,108.0,1591,1,2,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,2,132.0,2,4,2,0,3,0,5,0.0,5,0.0,1117.0,1117.0,1,0,1,4,0,2452,0.0,0.0,3,1,4,1,2,9,6,1,2,3,2004.0,0,3.0,691.0,4,4,2,113,32,0,0,0,0,3,4,4,0,9,2006,8,4,309000.0,2452
37,20,3,112.0,1184,1,2,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,3,0.0,3,4,2,2,3,3,5,0.0,5,0.0,1097.0,1097.0,1,0,1,4,0,1097,0.0,0.0,1,1,3,1,3,6,6,0,5,1,1995.0,2,2.0,672.0,4,4,2,392,64,0,0,0,0,3,4,4,0,6,2009,8,4,145000.0,1097
38,20,3,74.0,640,1,2,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,1,650.0,3,4,1,3,3,3,4,1213.0,5,0.0,84.0,1297.0,1,2,1,4,0,1297,0.0,1.0,1,0,3,1,3,5,6,1,4,1,1954.0,0,2.0,498.0,4,4,2,0,0,0,0,0,0,3,4,4,0,10,2009,8,4,153000.0,1297
39,20,3,68.0,502,1,2,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,3,0.0,3,2,1,3,3,3,2,731.0,5,0.0,326.0,1057.0,1,4,1,4,0,1057,1.0,0.0,1,0,3,1,2,5,6,0,5,5,1953.0,2,1.0,246.0,4,4,2,0,52,0,0,0,0,3,4,4,0,1,2010,8,0,109000.0,1057
40,90,3,65.0,248,1,2,3,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,3,0.0,3,4,2,4,4,4,6,0.0,6,0.0,0.0,0.0,1,4,0,2,0,1152,0.0,0.0,2,0,2,2,1,6,6,0,5,6,0.0,3,0.0,0.0,5,5,0,0,0,0,0,0,0,3,4,4,0,6,2008,8,1,82000.0,1152
41,20,3,84.0,661,1,2,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,1,101.0,3,4,1,3,3,3,4,643.0,5,0.0,445.0,1088.0,1,0,1,4,0,1324,0.0,0.0,2,0,3,1,3,6,6,1,4,1,1965.0,1,2.0,440.0,4,4,2,0,138,0,0,0,0,3,1,4,0,12,2006,8,0,160000.0,1324
42,20,3,115.0,1804,1,2,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,1,12,13,3,0.0,3,2,1,3,3,1,1,967.0,5,0.0,383.0,1350.0,1,2,1,4,0,1328,0.0,1.0,1,1,2,1,3,5,6,2,2,1,1959.0,1,1.0,308.0,4,4,1,0,104,0,0,0,0,3,4,4,0,7,2007,8,4,170000.0,1328
43,85,3,0.0,793,1,2,0,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,1,6,6,3,0.0,3,4,1,2,3,0,0,747.0,3,93.0,0.0,840.0,1,2,1,4,0,884,1.0,0.0,1,0,2,1,2,5,6,0,5,1,1983.0,1,2.0,504.0,4,2,2,240,0,0,0,0,0,3,2,4,0,12,2007,8,4,144000.0,884
44,20,3,0.0,797,1,2,0,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,1,12,13,3,0.0,3,4,1,2,3,0,3,280.0,1,491.0,167.0,938.0,1,4,1,4,0,938,1.0,0.0,1,0,3,1,3,5,6,0,5,5,1977.0,2,1.0,308.0,4,4,2,145,0,0,0,0,0,3,2,4,0,7,2008,8,4,130250.0,938
45,20,3,70.0,510,1,2,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,1,3,14,3,0.0,3,4,1,3,3,3,0,179.0,1,506.0,465.0,1150.0,1,0,1,0,0,1150,1.0,0.0,1,0,3,1,3,6,6,0,5,1,1959.0,1,1.0,300.0,4,4,2,0,0,0,0,0,0,3,4,4,0,5,2006,8,4,141000.0,1150
46,120,3,61.0,446,1,2,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,412.0,0,4,2,0,3,3,2,456.0,5,0.0,1296.0,1752.0,1,0,1,4,0,1752,1.0,0.0,2,0,2,1,0,6,6,1,2,1,2005.0,1,2.0,576.0,4,4,2,196,82,0,0,0,0,3,4,4,0,2,2010,8,4,319900.0,1752
47,50,3,48.0,1520,1,2,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,1,12,13,3,0.0,2,4,2,0,3,3,2,1351.0,5,0.0,83.0,1434.0,1,0,1,4,0,2149,1.0,0.0,1,1,1,1,2,6,6,1,0,1,2003.0,1,2.0,670.0,4,4,2,168,43,0,0,198,0,3,4,4,0,8,2009,8,0,239686.0,2149
48,20,1,84.0,1235,1,2,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,3,0.0,2,4,2,2,3,0,2,24.0,5,0.0,1632.0,1656.0,1,0,1,4,0,1656,0.0,0.0,2,0,3,1,2,7,6,0,5,1,2006.0,1,3.0,826.0,4,4,2,0,146,0,0,0,0,3,4,4,0,7,2007,8,4,249700.0,1656
49,190,4,33.0,152,1,2,3,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,3,0.0,3,4,0,3,3,3,5,0.0,5,0.0,736.0,736.0,1,2,1,4,0,1452,0.0,0.0,2,0,2,3,3,8,6,0,5,6,0.0,3,0.0,0.0,5,5,0,0,0,102,0,0,0,3,4,4,0,6,2009,6,5,113000.0,1452
50,20,3,66.0,463,1,2,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,3,0.0,3,4,1,3,3,3,1,763.0,5,0.0,192.0,955.0,1,0,1,4,0,955,1.0,0.0,1,0,3,1,3,6,6,0,5,1,1966.0,2,1.0,386.0,4,4,2,0,0,0,0,0,0,3,2,4,0,1,2007,8,4,127000.0,955
51,60,3,0.0,1638,1,2,1,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,1,12,13,3,0.0,3,4,2,2,3,0,2,182.0,5,0.0,612.0,794.0,1,2,1,4,0,1470,0.0,1.0,2,0,3,1,3,6,6,0,5,1,1997.0,0,2.0,388.0,4,4,2,0,75,0,0,0,0,3,4,4,0,7,2007,8,4,177000.0,1470
52,50,4,52.0,261,1,2,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,1,13,14,3,0.0,3,4,2,3,3,3,5,0.0,5,0.0,816.0,816.0,1,4,1,4,360,1176,0.0,0.0,1,0,3,1,3,6,6,1,2,5,1985.0,2,2.0,528.0,4,4,2,112,0,0,0,0,0,3,2,2,400,9,2006,8,4,114500.0,816
53,90,4,110.0,625,0,2,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,13,14,3,0.0,1,4,1,2,3,1,3,104.0,2,712.0,0.0,816.0,1,4,0,4,0,816,1.0,0.0,1,0,2,1,3,5,6,0,5,4,1963.0,2,2.0,516.0,4,4,2,106,0,0,0,0,0,3,4,4,0,5,2010,8,4,110000.0,816
54,20,3,68.0,1938,1,2,0,2,0,4,0,24,2,2,0,2,9,5,1981,1987,1,7,14,15,3,0.0,2,4,1,0,3,1,2,1810.0,5,0.0,32.0,1842.0,1,2,1,4,0,1842,2.0,0.0,0,1,0,1,2,5,6,1,2,1,1981.0,0,3.0,894.0,4,4,2,857,72,0,0,0,0,3,4,4,0,11,2006,8,4,385000.0,1842
55,80,3,60.0,358,1,2,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,3,0.0,3,4,1,3,3,3,0,384.0,5,0.0,0.0,384.0,1,4,1,4,0,1360,0.0,0.0,1,0,3,1,3,6,2,1,4,5,1962.0,2,2.0,572.0,4,4,2,0,50,0,0,0,0,3,2,4,0,2,2007,8,4,130000.0,1360
56,20,3,100.0,1025,1,2,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,1,6,10,1,272.0,3,4,1,3,3,3,1,490.0,5,0.0,935.0,1425.0,1,2,1,4,0,1425,0.0,0.0,2,0,3,1,3,7,6,1,2,1,1964.0,1,2.0,576.0,4,4,2,0,0,0,407,0,0,3,4,4,0,7,2008,8,4,180500.0,1425
57,160,1,24.0,54,1,1,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,1,8,8,1,456.0,2,4,2,2,3,3,2,649.0,5,0.0,321.0,970.0,1,0,1,4,0,1739,1.0,0.0,2,1,3,1,2,7,6,0,5,1,1999.0,0,2.0,480.0,4,4,2,115,0,0,0,0,0,3,4,4,0,8,2009,8,0,172500.0,1739
58,60,3,89.0,1334,1,2,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,3,0.0,2,4,2,2,3,3,5,0.0,5,0.0,860.0,860.0,1,0,1,4,0,1720,0.0,0.0,2,1,3,1,2,7,6,0,5,1,2004.0,1,2.0,565.0,4,4,2,0,70,0,0,0,0,3,4,4,0,8,2006,8,4,196500.0,1720
59,60,3,66.0,1621,1,2,1,1,0,1,0,22,2,2,0,5,10,5,2006,2006,3,1,12,13,1,1031.0,0,4,2,0,3,1,5,0.0,5,0.0,1410.0,1410.0,1,0,1,4,0,2945,0.0,0.0,3,1,3,1,2,10,6,1,2,3,2006.0,0,3.0,641.0,4,4,2,192,0,37,0,0,0,3,4,4,0,10,2006,6,5,438780.0,2945
60,20,3,60.0,367,1,2,3,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,6,6,3,0.0,3,4,1,3,3,0,0,632.0,5,0.0,148.0,780.0,1,0,1,4,0,780,0.0,0.0,1,0,2,1,3,4,6,0,5,5,1973.0,2,1.0,352.0,4,4,2,196,0,0,0,0,0,3,2,4,0,1,2008,8,4,124900.0,780
61,20,3,63.0,1557,1,2,3,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,1,12,13,3,0.0,3,4,2,2,3,3,0,941.0,5,0.0,217.0,1158.0,1,0,1,4,0,1158,1.0,0.0,1,1,3,1,2,5,6,0,5,5,2006.0,2,2.0,576.0,4,4,2,0,50,0,0,0,0,3,4,4,0,5,2006,6,5,158000.0,1158
62,75,4,60.0,367,1,2,3,3,0,4,0,9,2,2,0,4,5,7,1920,1996,1,1,8,8,3,0.0,3,4,0,3,0,3,5,0.0,5,0.0,530.0,530.0,1,4,0,4,0,1111,0.0,0.0,1,0,3,1,1,6,6,0,5,5,1935.0,2,1.0,288.0,4,4,0,0,0,144,0,0,0,3,4,4,0,3,2007,8,4,101000.0,1111
63,120,3,44.0,284,1,2,0,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,1,12,13,2,178.0,2,4,2,2,1,2,2,24.0,5,0.0,1346.0,1370.0,1,0,1,4,0,1370,0.0,0.0,2,0,2,1,2,6,6,1,2,1,2006.0,1,2.0,484.0,4,4,2,120,49,0,0,0,0,3,4,4,0,10,2007,8,4,202500.0,1370
64,70,4,50.0,1057,1,2,0,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,1,11,12,3,0.0,3,4,0,3,3,3,5,0.0,5,0.0,576.0,576.0,1,2,1,4,0,1710,0.0,0.0,2,0,3,1,3,9,6,0,5,5,1990.0,2,2.0,480.0,4,4,2,12,11,64,0,0,0,3,0,4,0,4,2010,8,4,140000.0,1710
65,60,3,0.0,839,1,2,3,3,0,4,0,5,2,2,0,5,7,5,1997,1998,1,1,12,13,1,573.0,3,4,2,2,3,3,2,739.0,5,0.0,318.0,1057.0,1,0,1,4,0,2034,1.0,0.0,2,1,3,1,2,8,6,0,5,1,1998.0,1,2.0,645.0,4,4,2,576,36,0,0,0,0,3,0,4,0,2,2009,8,4,219500.0,2034
66,60,3,76.0,894,1,2,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,1,344.0,2,4,2,0,3,0,5,0.0,5,0.0,1143.0,1143.0,1,0,1,4,0,2473,0.0,0.0,2,1,4,1,2,9,6,1,2,3,2004.0,1,3.0,852.0,4,4,2,192,151,0,0,0,0,3,4,4,0,10,2007,8,4,317000.0,2473
67,20,3,0.0,1860,1,2,3,3,0,4,0,12,3,2,0,2,7,5,1970,1989,1,1,9,10,1,287.0,3,4,1,2,3,1,2,912.0,5,0.0,1035.0,1947.0,1,4,1,4,0,2207,1.0,0.0,2,0,3,1,3,7,2,1,2,1,1970.0,1,2.0,576.0,4,4,2,301,0,0,0,0,0,3,4,4,0,7,2010,8,4,180000.0,2207
